Decision Tree,Random Forest,SVM (RBF),KNN,Gradient Boosting,Gaussian NB,LDA,QDA,AdaBoost,Extra Trees,Bagging,LightGBM,Ridge LR
0.5763319672131147,0.6316598360655737,0.6521516393442623,0.650358606557377,0.6285860655737705,0.7305327868852459,0.7202868852459017,0.7279713114754098,0.6657274590163934,0.6516393442622951,0.5991290983606556,0.5665983606557377,0.7346311475409837
0.548155737704918,0.7113217213114754,0.7200307377049181,0.616547131147541,0.7182377049180328,0.7689549180327869,0.7756147540983607,0.7269467213114754,0.7256659836065573,0.7233606557377048,0.6636782786885246,0.663422131147541,0.7879098360655737
0.5489241803278688,0.7279713114754099,0.7433401639344263,0.6542008196721312,0.6767418032786885,0.7233606557377049,0.7499999999999999,0.721311475409836,0.7156762295081968,0.7430840163934426,0.7359118852459017,0.6895491803278689,0.7397540983606558
0.554047131147541,0.6985143442622951,0.6769979508196722,0.6506147540983607,0.7120901639344263,0.7566598360655737,0.7494877049180328,0.7602459016393442,0.7320696721311476,0.6805840163934426,0.5694159836065573,0.6823770491803279,0.7387295081967213
0.5689036885245902,0.7123463114754098,0.7448770491803278,0.6303790983606558,0.6905737704918032,0.7827868852459016,0.7786885245901639,0.7510245901639344,0.7289959016393442,0.7087602459016393,0.6454918032786885,0.670594262295082,0.7996926229508197
0.5153688524590164,0.7241290983606556,0.6910860655737705,0.6939036885245902,0.7197745901639344,0.7771516393442623,0.8201844262295083,0.764344262295082,0.7574282786885247,0.7418032786885245,0.6342213114754098,0.7151639344262295,0.8171106557377049
0.6575307377049181,0.7497438524590164,0.7407786885245902,0.6557377049180327,0.7474385245901639,0.7674180327868853,0.7863729508196722,0.7622950819672131,0.7684426229508197,0.7238729508196722,0.7049180327868853,0.7387295081967213,0.7776639344262295
0.5927254098360656,0.6905737704918034,0.6659836065573771,0.6060450819672131,0.6915983606557377,0.6782786885245902,0.7054303278688525,0.7197745901639344,0.6467725409836066,0.6780225409836065,0.6260245901639344,0.6613729508196722,0.6941598360655737
0.5473872950819672,0.7210553278688525,0.7269467213114755,0.679047131147541,0.6839139344262296,0.7033811475409835,0.7064549180327869,0.7156762295081966,0.7192622950819673,0.7031249999999999,0.6964651639344263,0.7494877049180328,0.7049180327868851
0.5704405737704918,0.712858606557377,0.7443647540983607,0.7300204918032787,0.6168032786885246,0.771516393442623,0.788422131147541,0.6997950819672132,0.7128586065573771,0.7207991803278688,0.6047643442622951,0.641905737704918,0.7843237704918034
